# Comet ID: cmt0001
# Comet Group: Non-group
# Brightness Category: C
# Number Measurements: 13
#      DATE     TIME     FILENAME       X       Y  VMAG
 2015-03-11 18:24:05 22539952.fts 1016.07  857.47   nan
 2015-03-11 18:36:05 22539953.fts  997.27  856.27   nan
 2015-03-11 18:48:05 22539954.fts  977.27  855.20  9.50
 2015-03-11 19:00:05 22539955.fts  957.80  853.93 10.20
 2015-03-11 19:12:05 22539956.fts  937.87  852.20  8.90
 2015-03-11 19:24:05 22539957.fts  917.53  850.47  8.70
 2015-03-11 19:36:05 22539958.fts  896.80  848.47  9.60
 2015-03-11 19:48:05 22539959.fts  876.07  846.53  9.00
 2015-03-11 20:00:05 22539960.fts  855.07  843.73  8.30
 2015-03-11 20:12:05 22539961.fts  833.93  840.93  8.30
 2015-03-11 20:24:05 22539962.fts  812.00  837.47   nan
 2015-03-11 20:36:05 22539963.fts  789.80  833.67  8.20
 2015-03-11 20:48:06 22539964.fts  767.60  830.07  9.60
