# Comet ID: cmt0005
# Comet Group: Kreutz
# Brightness Category: C
# Number Measurements: 12
#      DATE     TIME     FILENAME       X       Y  VMAG
 2008-06-22 11:06:04 22282736.fts   55.45  981.45  9.10
 2008-06-22 11:26:04 22282737.fts   58.05  970.15  9.30
 2008-06-22 11:50:04 22282738.fts   62.00  957.20  8.00
 2008-06-22 12:06:04 22282739.fts   64.62  947.46  8.00
 2008-06-22 12:26:04 22282740.fts   68.50  935.67  8.30
 2008-06-22 12:50:04 22282741.fts   72.54  921.25  8.50
 2008-06-22 13:27:13 22282742.fts   79.96  898.88  8.70
 2008-06-22 13:50:04 22282743.fts   84.58  884.50  8.50
 2008-06-22 14:06:04 22282744.fts   87.79  874.75  8.70
 2008-06-22 14:26:05 22282745.fts   92.46  862.04  8.60
 2008-06-22 14:50:04 22282746.fts   97.83  845.88  8.90
 2008-06-22 15:06:04 22282747.fts  102.12  835.75 13.30
