# Comet ID: cmt0006
# Comet Group: Meyer
# Brightness Category: B
# Number Measurements: 10
#      DATE     TIME     FILENAME       X       Y  VMAG
 2002-01-01 03:54:05 22109672.fts  364.72  847.49  7.90
 2002-01-01 04:06:05 22109673.fts  375.70  858.84  7.50
 2002-01-01 04:30:05 22109674.fts  397.80  881.85  8.10
 2002-01-01 04:54:05 22109675.fts  420.32  904.47   nan
 2002-01-01 05:06:05 22109676.fts  431.29  915.07 11.60
 2002-01-01 05:30:05 22109677.fts  454.00  936.43   nan
 2002-01-01 05:54:05 22109678.fts  476.52  957.02  8.40
 2002-01-01 06:06:05 22109679.fts  487.50  966.38 10.30
 2002-01-01 06:30:05 22109680.fts  510.11  985.69  9.00
 2002-01-01 06:54:05 22109681.fts  531.97 1003.85  7.80
